Title,Author,Year,Genre,Rating
1984,George Orwell,1949,Dystopian,4.2
To Kill a Mockingbird,Harper Lee,1960,Classic,4.3
The Great Gatsby,F. Scott Fitzgerald,1925,Classic,3.9
Harry Potter and the Philosopher's Stone,J.K. Rowling,1997,Fantasy,4.5
Pride and Prejudice,Jane Austen,1813,Romance,4.3
The Catcher in the Rye,J.D. Salinger,1951,Fiction,3.8
The Lord of the Rings,J.R.R. Tolkien,1954,Fantasy,4.5
The Alchemist,Paulo Coelho,1988,Fiction,3.9
The Da Vinci Code,Dan Brown,2003,Thriller,3.9
Hope,konain,2025,life,4.9
